title,released,genres,description,link
The Good Boss,2021,comedy film/black comedy film,action limiting a person’s or group’s liberty or autonomy intended to promote their own good/pretense of virtue; failure to follow one’s own expressed principles/conscious policy and practice of taking selfish advantage of circumstances/application of ethical principles to the area of business activities/will to succeed/placing concern with oneself above the interests of others/individual interpersonal relationship between an employer and an employee,http://www.wikidata.org/entity/Q105702167
The Goonies,2021,comedy film/action film/adventure film/family film/pirate film/children's film/treasure hunt film,act of robbery or criminality at sea,http://www.wikidata.org/entity/Q636043
The Green Knight,2021,speculative/fantastic fiction film/medieval film,"abstract concept entailing a perceived quality of worthiness and respectability/quality of mind or spirit that enables a person to face difficulty, danger, or pain/traditional ideology and code of conduct of knights/process by which a young adult tries to define their life goals, their place in society, and their own world view/anxiety caused by thoughts of death/quality of lasting, or being intended to last, a limited period of time/awareness by an individual that their death is inevitable",http://www.wikidata.org/entity/Q65091255
The Hand of God,2021,drama film,"city and commune in Campania, Italy/transitional stage of physical and psychological development/young person's transition from childhood to adulthood/process by which a young adult tries to define their life goals, their place in society, and their own world view/filmmaking in the broadest sense, including pre-production and post-production/death of a parent or another person in this role",http://www.wikidata.org/entity/Q104856751
The House,2021,drama film/science fiction film/thriller film/film based on literature,"home with automated systems for monitoring and/or controlling attributes such as lighting, climate, entertainment systems, and appliances",http://www.wikidata.org/entity/Q108146404
The Innocents,2021,drama film/horror film/thriller film,"ability to influence the behavior of others/rituals or actions employed to manipulate natural or supernatural beings and forces/capacity to understand or feel what another person is experiencing from within the latter's frame of reference/sociological term describing human age from birth to adolescence/emergence, change, and understanding of morality from infancy through adulthood/dichotomy in religion, ethics, and philosophy/quality that exceeds those found in humans",http://www.wikidata.org/entity/Q107112059
The Jesus Music,2021,documentary film,genre of modern popular music lyrically focused on matters concerned with the Christian faith,http://www.wikidata.org/entity/Q109237435
The Judgement,2021,thriller film,,http://www.wikidata.org/entity/Q108123027
The Lady of Heaven,2021,medieval film/historical drama,"sermon given by Muhammad in 632 including a declaration in favor of his son‐in‐law Ali/The Islamic prophet Muhammad and four members of his family/early Islamic battle/the double bladed sword of Ali/7th century CE succession crisis following the death of Muhammad, causing the Sunni–Shia schism in Islam/hadith that introduces the Quran and the  Ahl al-Bayt as the only sources of divine guidance after Muhammad’s death/Wikimedia list article/An important and controversial event in the history of Shia Islam/most loyal companions of Ali/Overview of the marital life of Fatimah, daughter of the Islamic prophet Muhammad/A collection of quran by Ali ibn abi Talib/The article deals with the disputed issue of Fatimah's burial place. It mentions the possible places based on the narrations.",http://www.wikidata.org/entity/Q104646669
The Last Cruise,2021,documentary film,"cruise ship built in 2004/respiratory syndrome and infectious disease in humans, caused by SARS coronavirus 2",http://www.wikidata.org/entity/Q106555014
The Last Duel,2021,medieval film/historical film/film based on books,type of sexual assault usually involving sexual intercourse without consent/method of settling accusations within Germanic law by dueling/traditional ideology and code of conduct of knights/role of women in Medieval Europe/quality of being an enemy,http://www.wikidata.org/entity/Q85000980
The Last Execution,2021,drama film,"legal process whereby a person is put to death by the state as a punishment for an actual or supposed crime/foreign intelligence service of the German Democratic Republic/control of people by others/giving up of allegiance to one state for allegiance to another in a manner considered illegitimate by the first state/emotional experience that occurs when a person believes or realizes—accurately or not—that they have compromised their own standards of conduct or have violated universal moral standards and bear significant responsibility for that violation/defectors from East Germany/form of betrayal/advancing one's career, often at the cost of one's integrity",http://www.wikidata.org/entity/Q106685218
The Laws of The Universe- THE AGE OF ELOHIM -,2021,drama film/religious art/anime film,"totality consisting of space, time, matter and energy/third planet from the Sun in the Solar System/principal object of faith in monotheistic religions, a divine entity that created and typically supervises all existence/past events and their tracks or records/the first book of the Bible/natural or supernatural god or goddess, divine being/Wikimedia disambiguation page/deity responsible for the creation of the universe/intelligent extraterrestrial life",http://www.wikidata.org/entity/Q109367250
The Loneliest Whale: The Search for 52,2021,documentary film,"individual whale which has been detected calling at 52 Hz, far above the normal whale vocal range",http://www.wikidata.org/entity/Q107335118
The Lost Daughter,2021,drama film/film based on a novel,"term used in various psychology theories/process of giving up one's child/lifecycle role, generally for females",http://www.wikidata.org/entity/Q99926331
The Lost Leonardo,2021,documentary film,painting attributed to Leonardo da Vinci,http://www.wikidata.org/entity/Q108293356
The Man Who Wanted to See It All,2021,documentary film,German cyclist and photographer,http://www.wikidata.org/entity/Q116167277
The Matrix Resurrections,2021,cyberpunk/action film/science fiction film,"strong, positive emotion based on affection/ability of agents to make choices free from certain kinds of external constraints/computer-simulated environment simulating physical presence in real or imagined worlds/concept found in moral, political, and bioethical philosophy/fundamental characteristics of human beings/everything which is the case/relationship between human and machine",http://www.wikidata.org/entity/Q80322391
The Minimalists: Less Is Now,2021,documentary film,movements in various forms of art and design,http://www.wikidata.org/entity/Q104626604
The Mitchells vs. The Machines,2021,animated film/apocalyptic film,hypothetical scenario in which AI becomes the dominant form of intelligence on Earth,http://www.wikidata.org/entity/Q54021143
The Most Beautiful Boy in the World,2021,documentary film,Swedish actor and musician,http://www.wikidata.org/entity/Q105094193
The Most Reluctant Convert: The Untold Story of C.S. Lewis,2021,drama film/biographical film/religious film/film based on literature,"British writer, lay theologian and scholar (1898–1963)/adoption of religious beliefs",http://www.wikidata.org/entity/Q112161130
The Nailbomber,2021,documentary film,a series of nationalist terror bombings in London that targeted minorities,http://www.wikidata.org/entity/Q107062160
The Nest,2021,drama film/thriller film,"act of intentionally propagating beliefs of things that are not true, or not the whole truth/abundance of value/person who falsifies their identity, history, or personal characteristics with intent to deceive/false statement made with the intent to deceive/process whereby the relationship between a married couple erodes/event or state when a goal is ultimately not accomplished/upward movement of people or groups between social strata in society",http://www.wikidata.org/entity/Q60737520
The One and Only Dick Gregory,2021,documentary film,"American comedian, social activist, social critic, writer, and entrepreneur (1932–2017)",http://www.wikidata.org/entity/Q107324193
The Outsider,2021,documentary film,"memorial & museum in New York City commemorating the September 11, 2001 attacks",http://www.wikidata.org/entity/Q110146974
The Painted Bird,2021,drama film/war film,"hostility, prejudice, or discrimination against Jews/use of physical force or power for coercion or as punishment/dislike of that which is perceived to be foreign or strange/maltreatment or neglect of a child/fundamental characteristics of human beings/the inability of an entity to withstand the adverse effects of a hostile or uncertain environment/behaviour conflicting with universal human values/social, economic, psychological, and environmental impacts of armed conflict/review of the topic/pain, mental, or emotional unhappiness caused by bad things happening",http://www.wikidata.org/entity/Q33101290
The Phantom,2021,documentary film,American murderer (1962-1989),http://www.wikidata.org/entity/Q107298561
The Professor and the Madman,2021,drama film/biographical film/film based on books,premier historical dictionary of the English language,http://www.wikidata.org/entity/Q27961908
The Queen of Basketball,2021,short film/documentary film,American basketball player,http://www.wikidata.org/entity/Q110874710
The Return: Life After ISIS,2021,documentary film,Salafi jihadist militant Sunni Islamist group,http://www.wikidata.org/entity/Q106678840
The Royal Game,2021,film based on literature,"strategy board game/strict form of imprisonment/method of psychological torture utilizing sensory deprivation/restraint of a person's liberty by judicial or other detention/strategies used during the confrontation with some events to reduce unpleasant emotions/manipulative tactic intended to distract the opponent and draw his attention away from the point that one wants to attack/ability to cope with a life crisis, adapt in the face of stressors, or to adjust and return to pre-crisis status",http://www.wikidata.org/entity/Q102315818
The Seeds of Vandana Shiva,2021,documentary film/biographical film,"Indian philosopher, activist and environmentalist (*1952)",http://www.wikidata.org/entity/Q115206760
The Silence in Sápmi,2021,documentary film,abusive sexual behavior by one person upon another/cultural region traditionally inhabited by the Sami people/societal or cultural prohibition/level of psychological well-being,http://www.wikidata.org/entity/Q110697660
The Sparks Brothers,2021,documentary film,American rock and pop band,http://www.wikidata.org/entity/Q96412800
The Story Coat,2021,documentary film,"group of people affiliated by consanguinity, law, affinity, or co-residence/artistic representation of one or more persons",http://www.wikidata.org/entity/Q107613861
The Tomorrow War,2021,action film/war film/science fiction film/military science fiction/time-travel film,common theme in science fiction stories and film,http://www.wikidata.org/entity/Q67171072
The Tragedy of Macbeth,2021,drama film/film based on literature,"firm and fixed belief based on inadequate grounding/judgment that assists in distinguishing right from wrong/predetermined course of events/prediction that directly or indirectly causes itself to become true, by the very terms of the prophecy itself, due to positive feedback between belief and behavior/emotional experience that occurs when a person believes or realizes—accurately or not—that they have compromised their own standards of conduct or have violated universal moral standards and bear significant responsibility for that violation/intentional killing of a monarch",http://www.wikidata.org/entity/Q84693711
The Trouble with Being Born,2021,drama film/science fiction film,"field of computer science and engineering practices for intelligence demonstrated by machines and intelligent agents/unpleasant emotional response to isolation/state of emotions of a person to whom something irreversible happened that leads to a feeling of sadness or regret; most often occurring e.g. after a beloved one died, or a long relationship split up/social and emotional relationship between a parent and their child/relationship between siblings/mental reexperience of past events and experiences from a psychological point of view/hypothetical anthropomorphic robot sex doll/significant event in a person's life/type of bereavement/relationship between human and machine",http://www.wikidata.org/entity/Q84401074
The United States vs. Billie Holiday,2021,drama film/biographical film,American jazz singer (1915–1959),http://www.wikidata.org/entity/Q73049266
The Velvet Queen,2021,documentary film,large felid native to the mountains of Central and South Asia,http://www.wikidata.org/entity/Q107469116
The Velvet Underground,2021,documentary film,American rock band,http://www.wikidata.org/entity/Q98139729
The War Below,2021,drama film/war film/historical film,"global war originating in Europe, 1914–1918",http://www.wikidata.org/entity/Q109918228
The Winter Hunger,2021,horror film,"non-cellular, submicroscopic infectious agent that replicates only inside the living cells of an organism/deadly viral disease, transmitted through animals",http://www.wikidata.org/entity/Q114873819
The Worst Person in the World,2021,drama film/comedy film/romance film,"ability of individuals to have agency/group of movements that come about defining, and defending women liberation and gender equity/cohort succeeding Generation X, born from 1981 to 1996/crisis involving anxiety over the direction and quality of one's life which is most commonly experienced in a period ranging from a person's twenties up to their mid-thirties/physical or emotional intimacy between humans/love based relationship/process of selection a romantic or sexual partner/process by which a young adult tries to define their life goals, their place in society, and their own world view/act of judging the merits of multiple options and selecting one or more of them/inabilty to decide/termination of a romantic relationship",http://www.wikidata.org/entity/Q107089587
There Is No Evil,2021,drama film/anthology film,"killing of a human being by another human being. Use as value for ""manner of death"" (P1196)/decision-making problem between two conflicting moral imperatives, neither of which is unambiguously acceptable or preferable/emotional experience that occurs when a person believes or realizes—accurately or not—that they have compromised their own standards of conduct or have violated universal moral standards and bear significant responsibility for that violation/overview of the use of capital punishment in Iran",http://www.wikidata.org/entity/Q84321441
They Carry Death,2021,drama film,voyage that led to the discovery of America,http://www.wikidata.org/entity/Q111893449
Tina,2021,biography/documentary film/musical film,American-born singer (1939–2023),http://www.wikidata.org/entity/Q105697084
Titane,2021,drama film/body horror film,"person's private sense of, and subjective experience of, their own gender/process of development of a close, interpersonal relationship/social role encompassing a range of behaviors and attitudes that are generally considered acceptable, appropriate, or desirable for people based on their actual or perceived sex or sexuality/concept of existing in a physical form/relationship between human and machine",http://www.wikidata.org/entity/Q105393862
To Live and Die in Alabama,2021,documentary film,controversial execution by the state of Alabama in 2020,http://www.wikidata.org/entity/Q111941988
To be or not to be for a day,2021,drama film,relationship between people who have mutual affection for each other/use of physical force or power for coercion or as punishment/reestablishment of friendly relations,http://www.wikidata.org/entity/Q109335436
Tony Parker: The Final Shot,2021,documentary film,French basketball player,http://www.wikidata.org/entity/Q104857699
Toubab,2021,drama film/comedy film,marriage of convenience entered into without intending to create a real marital relationship,http://www.wikidata.org/entity/Q100984113
Tove,2021,biographical film,love that is not reciprocated by the receiver/process during which a work of art comes into being/fictional universe created by Tove Jansson/ability of individuals to have agency/Finnish children's writer and illustrator (1914–2001)/person who engages in any form of artistic creation or practice/social movement that seeks freedom in personal relationships/romantic relationship involving three people/love based relationship,http://www.wikidata.org/entity/Q96628864
Trees of Peace,2021,drama film,1994 genocide against the Tutsi in Rwanda,http://www.wikidata.org/entity/Q117275278
Two of Us,2021,drama film/LGBT-related film,"strong, positive emotion based on affection/sexual attraction between women/need on caregiver's assistance for daily activities/consists of ages nearing or surpassing the life expectancy of human beings/process of disclosing one's sexual orientation or other identity attributes/a romantic or sexual relationship between people of the same sex",http://www.wikidata.org/entity/Q84318956
Undine,2021,drama film,"strong, positive emotion based on affection/elemental beings associated with water/predetermined course of events/breaking or violation of a presumptive contract, trust, or confidence",http://www.wikidata.org/entity/Q66442210
Untold: Breaking Point,2021,documentary film,American tennis player,http://www.wikidata.org/entity/Q109941411
Untold: Caitlyn Jenner,2021,documentary film,American media personality and retired decathlete,http://www.wikidata.org/entity/Q109927611
Untold: Crimes & Penalties,2021,documentary film/biographical film,professional minor-league ice hockey team,http://www.wikidata.org/entity/Q109941528
Untold: Deal with the Devil,2021,documentary film,American boxer,http://www.wikidata.org/entity/Q109941404
Untold: Malice at the Palace,2021,documentary film,2004 altercation at an NBA game involving players and fans,http://www.wikidata.org/entity/Q110029345
V2. Escape from Hell,2021,war film,,http://www.wikidata.org/entity/Q65154498
Val,2021,documentary film/biographical film,American actor (born 1959),http://www.wikidata.org/entity/Q107202403
Vi är barn av vår tid,2021,documentary film,Swedish progg rock band from the 1970s,http://www.wikidata.org/entity/Q105105493
Viaje a alguna parte,2021,documentary film/biographical film,"Spanish actor, screenwriter, and director, (1921–2007)/actress (1946-2016)",http://www.wikidata.org/entity/Q110845828
Vicky and Her Mystery,2021,adventure film,species of mammal,http://www.wikidata.org/entity/Q104033765
Vortex,2021,drama film,"social union or legal contract between people called spouses that creates kinship/long-term brain disorder causing personality changes and impaired memory, reasoning, and social function/consists of ages nearing or surpassing the life expectancy of human beings/state of being mortal, or susceptible to death; the opposite of immortality/social and emotional relationship between a parent and their child/quality of lasting, or being intended to last, a limited period of time/mental disorder involving the abuse or dependence on a substance that is ingested in order to produce a high, alter one's senses, or otherwise affect functioning",http://www.wikidata.org/entity/Q107510866
We,2021,documentary film,series of terrorist attacks,http://www.wikidata.org/entity/Q110482485
We're All Going to the World's Fair,2021,drama film/horror film/found footage,"unpleasant emotional response to isolation/culture that has emerged, or is emerging, from the use of computer networks/demographic cohort born between the mid-to-late 1990s and early 2010s/process of development of a close, interpersonal relationship",http://www.wikidata.org/entity/Q105043986
WeWork: Or the Making and Breaking of a $47 Billion Unicorn,2021,documentary film,Office space design provider,http://www.wikidata.org/entity/Q105686499
West Side Story,2021,musical film/romance film,"lack of a certain amount of material possessions or money/urban socioeconomic process/conflict between ethnic groups/people from Puerto Rico or who identify, culturally, as Puerto Rican/overview of immigration to the United States/United States social caste and ethnic group/form of social disadvantage and relegation to the fringe of society/pair of lovers whose relationship is thwarted by outside forces/intimate relationship between persons of different nationality, ethnicity or culture",http://www.wikidata.org/entity/Q63643994
Wet Dog,2021,drama film/film based on literature,"locality in the borough of Mitte, Berlin, Germany/process by which a young adult tries to define their life goals, their place in society, and their own world view/hosility, prejudice, or discrimination of Jews by Muslims/acceptance of self/Jews associated with the Persian and Iranian states",http://www.wikidata.org/entity/Q101503314
What Do We See When We Look at the Sky ?,2021,drama film,"strong, deep, or close association or acquaintance between two or more people/qualities, beliefs, personality, looks and/or expressions that distinguish a person or group/romantic concept of moving from a feeling of neutrality towards a person to one of love/immediate and long-lasting attraction, generally to a person/filmmaking in the broadest sense, including pre-production and post-production/delaying action until an expected event",http://www.wikidata.org/entity/Q105441001
When Nirvana Came to Britain,2021,documentary film,American rock band,http://www.wikidata.org/entity/Q108795498
White Coat Rebels,2021,documentary film,"form of dishonesty or criminal offense undertaken by a person or organization entrusted with a position of authority, to acquire illicit benefit or abuse power for one's private gain/develops, produces, and markets drugs or pharmaceuticals licensed for use as medications",http://www.wikidata.org/entity/Q107462742
Who Killed the KLF?,2021,documentary film,British musical group; acid house band,http://www.wikidata.org/entity/Q111941515
Who's Afraid of Alice Miller?,2021,documentary film/biographical film,Swiss psychologist (1923-2010),http://www.wikidata.org/entity/Q108380050
Wikipedia - die Schwarmoffensive,2021,documentary film,free multilingual online encyclopedia,http://www.wikidata.org/entity/Q108538128
Wikipedia and the Democratisation of Knowledge,2021,documentary film,free multilingual online encyclopedia,http://www.wikidata.org/entity/Q104641056
Wochiigii lo: End of the Peace,2021,documentary film,"dam in British Columbia, Canada",http://www.wikidata.org/entity/Q109237705
Woodlands Dark and Days Bewitched: A History of Folk Horror,2021,documentary film,film genre,http://www.wikidata.org/entity/Q106689204
"Woodstock 99: Peace, Love, and Rage",2021,documentary film,"1999 music festival in Rome, New York, U.S.",http://www.wikidata.org/entity/Q107618695
Workhorse Queen,2021,documentary film,American Drag Queen,http://www.wikidata.org/entity/Q108597863
Worth,2021,drama film/biographical film,effects and subsequent events of the September 11 attacks,http://www.wikidata.org/entity/Q62901895
"Yo nena, yo princesa",2021,drama film,children and adolescents who are transgender,http://www.wikidata.org/entity/Q110426678
You Are Not My Mother,2021,horror film,occurrence of mental illness in parents,http://www.wikidata.org/entity/Q108803427
Zack Snyder's Justice League,2021,cult film/superhero film/science fiction action film,common theme in science fiction stories and film,http://www.wikidata.org/entity/Q94998134
Zátopek,2021,drama film/biographical film/sport film,Czech long-distance runner (1922–2000),http://www.wikidata.org/entity/Q20428348
#AnneFrank. Parallel Stories,2022,documentary film,German-born Dutch Jewish diarist and Holocaust victim (1929–1945)/one who survived the Holocaust,http://www.wikidata.org/entity/Q96790752
''Mozart from Space'',2022,drama film/fantasy/fantasy film/family film/drama fiction,"art/activity of creating art using sound/group of people affiliated by consanguinity, law, affinity, or co-residence",http://www.wikidata.org/entity/Q124057965
11M: Terror in Madrid,2022,documentary film,terrorist attack on Madrid's suburban trains,http://www.wikidata.org/entity/Q111029725
20.0 Megaquake,2022,disaster film,result of a sudden release of energy in the Earth's crust that creates seismic waves,http://www.wikidata.org/entity/Q121294946
38 at the Garden,2022,biographical film,team sport played on a court with baskets on either end,http://www.wikidata.org/entity/Q115103329
9 Lives,2022,documentary film,ongoing military conflict in Eastern Europe since 2022,http://www.wikidata.org/entity/Q117037955
A E I O U - A Quick Alphabet of Love,2022,drama film,human vocal communication using spoken language/difference of ages of individuals in sexual relationships/love based relationship/romantic concept of moving from a feeling of neutrality towards a person to one of love,http://www.wikidata.org/entity/Q110622397
A Hundred Flowers,2022,drama film,"progressive, neurodegenerative disease characterized by memory loss",http://www.wikidata.org/entity/Q116889996
A Radiant Girl,2022,drama film/historical film,"collaborative form of performing art/1940 interim occupation authority established by Nazi Germany during World War II/genre of literature, film, and video that focuses on the growth of a protagonist from youth to adulthood",http://www.wikidata.org/entity/Q104144643
A Shore Away,2022,drama film/social drama,lack of a certain amount of material possessions or money/circumstance when people desire a permanent dwelling but do not have one/place for people to live temporarily when they cannot live in their previous residence,http://www.wikidata.org/entity/Q111585255
After Blue (Dirty Paradise),2022,fantasy film/science fiction film,"manner in which humans engage sexually/use of physical force or power for coercion or as punishment/form in which people experience and express themselves sexually/social system with female rule/activity where one party tries to catch the other, esp. as subject in art and literature/hypothetical or speculative scenario in which the male populations dies out",http://www.wikidata.org/entity/Q107694501
Aftersun,2022,drama film,"leave of absence from a regular occupation, or a specific trip or journey, usually for the purpose of recreation or tourism/social and emotional relationship between a parent and their child",http://www.wikidata.org/entity/Q111668106
Air Murder,2022,drama film,lung disease outbreak in South Korea,http://www.wikidata.org/entity/Q111528951
Alain Krivine : une vie en rouge,2022,documentary film,French politician,http://www.wikidata.org/entity/Q114702140
Alcarràs,2022,rural drama,"group of people affiliated by consanguinity, law, affinity, or co-residence/war between the Republicans and the Nationalists in Spain from 1936 to 1939/cultivation of plants and animals to provide useful products/engaging in risky financial transactions/process of people gathering mature crops or their products",http://www.wikidata.org/entity/Q110622667
All Quiet on the Western Front,2022,drama film/war film/film based on a novel,"global war originating in Europe, 1914–1918/theatre of WWI in France and Belgium/land warfare involving static fortification of lines",http://www.wikidata.org/entity/Q108837349
All That Breathes,2022,documentary film,species of bird,http://www.wikidata.org/entity/Q111662938
Ambulance,2022,action film/heist film/thriller film,POST participating California Law Enforcement Agency,http://www.wikidata.org/entity/Q105095144
Amelie rennt,2022,teen film,long-term disease involving inflamed airways,http://www.wikidata.org/entity/Q28736892
American Reject,2022,comedy film/music-themed film,genre of television programming that documents unscripted situations and actual occurrences/contest that rewards the best singer or song performance,http://www.wikidata.org/entity/Q121411681
Ammonite,2022,drama film/LGBT-related film,"British fossil collector, dealer, and paleontologist (1799-1847)/romantic concept of moving from a feeling of neutrality towards a person to one of love/sexuality/formation of a close personal relationship between women/British geologist (1788-1869)",http://www.wikidata.org/entity/Q60836025
Andança: Os Encontros e as Memórias de Beth Carvalho,2022,documentary film,Brazilian musician,http://www.wikidata.org/entity/Q123745351
Apache Stays Apache,2022,documentary film,German rapper,http://www.wikidata.org/entity/Q114221701
Apollo 10½,2022,drama film/science fiction film/teen film/coming-of-age film,film genre,http://www.wikidata.org/entity/Q97473243
Apple: The Trillion Dollar Betrayal,2022,documentary film,American multinational technology company,http://www.wikidata.org/entity/Q115728564
Are You Lonesome Tonight?,2022,drama film/crime film/neo-noir,"killing of a human being by another human being. Use as value for ""manner of death"" (P1196)/unforeseen and unplanned event or circumstance, often with a negative outcome/emotional experience that occurs when a person believes or realizes—accurately or not—that they have compromised their own standards of conduct or have violated universal moral standards and bear significant responsibility for that violation/process of development of a close, interpersonal relationship",http://www.wikidata.org/entity/Q117843062
Armat,2022,documentary film,Aspect of history; the study of families and the tracing of their lineages and history./systematic destruction of the Armenian people and identity in the Ottoman Empire during World War I implemented by the Ottoman authorities through mass murder,http://www.wikidata.org/entity/Q123907781
Athena: The Making Of,2022,behind-the-scenes,2022 film directed by Romain Gavras,http://www.wikidata.org/entity/Q115298368
Aurora's Sunrise,2022,documentary film/animated film,systematic destruction of the Armenian people and identity in the Ottoman Empire during World War I implemented by the Ottoman authorities through mass murder/American actress (1901-1994),http://www.wikidata.org/entity/Q114860269
Avatar,2022,action film/adventure film/science fiction film/military science fiction/live-action animated film,scientific study of the relationships between living organisms/process of producing individual organisms with identical genomes/life that does not originate from Earth/set of technologies which allow a person to feel as if they were present in another place,http://www.wikidata.org/entity/Q24871
Axiom,2022,drama film,"mental faculties and processes involved in storing and retrieving information/qualities, beliefs, personality, looks and/or expressions that distinguish a person or group/social and cultural activity of sharing stories, often with improvisation, theatrics, or embellishment/person who falsifies their identity, history, or personal characteristics with intent to deceive/false statement made with the intent to deceive",http://www.wikidata.org/entity/Q110630372
Ballad of a White Cow,2022,drama film,"legal process whereby a person is put to death by the state as a punishment for an actual or supposed crime/renunciation or cessation of resentment, indignation or anger/emotional experience that occurs when a person believes or realizes—accurately or not—that they have compromised their own standards of conduct or have violated universal moral standards and bear significant responsibility for that violation/conviction and punishment of a person for a crime they did not commit/one of the three forces in Islamic republic of Iran/end cause of marriage, significant event",http://www.wikidata.org/entity/Q85973822
Barren,2022,drama film,"type of sexual assault usually involving sexual intercourse without consent/one of the three major Judaism movement, and the formal one in Israel",http://www.wikidata.org/entity/Q113855169
Belfast,2022,drama film/biographical film,"city of the United Kingdom, capital of Northern Ireland/place where a person was raised or that he identifies with/1960s–1990s conflict in Northern Ireland/human migration within one geopolitical entity",http://www.wikidata.org/entity/Q100736066
Bergman Island,2022,drama film,"Swedish director and screenwriter (1918–2007)/strong, deep, or close association or acquaintance between two or more people/filmmaking in the broadest sense, including pre-production and post-production",http://www.wikidata.org/entity/Q59065557
Better Days,2022,teen film/romantic drama film,type of bullying that occurs in an educational setting,http://www.wikidata.org/entity/Q56272081
Between Two Worlds,2022,drama film,relationship between people who have mutual affection for each other/subset of media ethics dealing with principles of ethics and good practice applicable to journalists/segment of the population that occupies the lowest possible position in a class hierarchy/social class formed by people suffering from precarity/formation of a close personal relationship between women/economic phenomenon/women who perform some kind of job/societal relation between the classes as part of social reality,http://www.wikidata.org/entity/Q86680275
Beyond the Infinite Two Minutes,2022,comedy film,"ability of agents to make choices free from certain kinds of external constraints/theoretical paradox resulting from time travel/philosophical belief that all events are determined completely by previously existing causes/hypothetical activity of traveling into the past or future/ability to gain information about an object, person, location or physical event through extrasensory perception",http://www.wikidata.org/entity/Q97167716
Black Panther: Wakanda Forever,2022,action film,hurtful condition of having lost something or someone,http://www.wikidata.org/entity/Q54860489
Blonde,2022,drama film/biographical film/historical film/film based on a novel,American actress and model (1926–1962),http://www.wikidata.org/entity/Q66823622
Bloodsuckers,2022,comedy film,economic and sociopolitical worldview/pretense of virtue; failure to follow one’s own expressed principles/quality relating to unfairness or undeserved outcomes/practice of singling out any party for unmerited negative treatment or blame as a scapegoat/emigration from Russia and USSR/economic phenomenon/societal relation between the classes as part of social reality,http://www.wikidata.org/entity/Q107294619
Blue Bayou,2022,drama film,Americans of Asian ancestry/Official Order/overview of immigration to the United States/process of categorising acts as crimes/international adoption of South Korean children/adoption of a child by a parent of a different ethnicity/Pre-1983 citizenship issue,http://www.wikidata.org/entity/Q84010895
"Bolsonaro, Brazil under pressure",2022,documentary film/biographical film,President of Brazil from 2019 to 2022,http://www.wikidata.org/entity/Q114154933
Brainwashed: Sex-Camera-Power,2022,documentary film,rights claimed for women and girls worldwide,http://www.wikidata.org/entity/Q110478915
Bread and Salt,2022,drama film,movement of people into another country or region to which they are not native/social issue,http://www.wikidata.org/entity/Q113563055
Broken Health,2022,documentary film,Spanish politician/viral pandemic in Catalonia,http://www.wikidata.org/entity/Q113437313
Brother’s Keeper,2022,drama film,school where some or all students live on campus,http://www.wikidata.org/entity/Q105505653
C'mon C'mon,2022,drama film,sociological term describing human age from birth to adolescence/process of raising a child/psychological skill/term/household that includes children and is headed by one adult/occurrence of mental illness in parents,http://www.wikidata.org/entity/Q73537113
CHEST,2022,horror film/found footage,entites or phenomena that are thought to be beyond the laws of nature,http://www.wikidata.org/entity/Q115496365
Caged Birds,2022,drama film,"ability of individuals to have agency/strict form of imprisonment/riot in Switzerland/detention of a person/thoughts, ideas, or ruminations about the possibility of ending one's life/Swiss criminal",http://www.wikidata.org/entity/Q108650361
Capone,2022,drama film/biographical film/gangster film,American gangster,http://www.wikidata.org/entity/Q51093046
Causeway,2022,drama film,relationship between people who have mutual affection for each other,http://www.wikidata.org/entity/Q64691760
Chevalier,2022,drama film/biographical film/historical film,"French virtuoso violinist, composer, conductor, and fencing master",http://www.wikidata.org/entity/Q108782357
City of a dream,2022,documentary film,"country in North America/country in Western Europe/province of Canada/past events and their tracks or records/largest city in Quebec, Canada/mental faculties and processes involved in storing and retrieving information/social-cultural system/agency or institution responsible for the preservation and communication of records selected for permanent preservation/scholar who deals with the exploration and presentation of history/physical artifact or intangible attribute of a society inherited from past generations/settler of New France, co-founder of the city of Montreal, Canada/academic discipline that studies what happened in the past/historical narrative based on a written record or other documented communication/whole of the documents made and received by a juridical or physical person or organization in the conduct of affairs, and preserved/Canadian filmmaker",http://www.wikidata.org/entity/Q111272607
Cobra,2022,action film/science fiction film/mystery film/thriller film/supernatural fiction,snake,http://www.wikidata.org/entity/Q86756319
Coma,2022,drama film,transitional stage of physical and psychological development/young person's transition from childhood to adulthood,http://www.wikidata.org/entity/Q110854546
Compartment No. 6,2022,drama film/road movie,"movement of people between geographical locations/unpleasant emotional response to isolation/mode of relating to the past, present and future/process by which a young adult tries to define their life goals, their place in society, and their own world view/process of development of a close, interpersonal relationship/something that is not familiar/an earnest and deep, not greatly passionate, but rather melancholic desire/brief but emotionally close or intimate interaction between two or more persons",http://www.wikidata.org/entity/Q107092356
Corsage,2022,drama film/biographical film/historical film,"ability of individuals to have agency/Empress of Austria and Queen of Hungary (1837-1898)/set of behaviours, rights, obligations, beliefs, and norms expected from an individual that has a certain social status/biological processes in a human body coupled to increasing age/commitment or obligation to someone or something or to perform an action on the behalf of/period of age beyond young adulthood but before the onset of old age/excessive concern for one's own perfection/image other people have of a person/concept from Freudian psychoanalytics/philosophical concept/social role encompassing a range of behaviors and attitudes that are generally considered acceptable, appropriate, or desirable for people based on their actual or perceived sex or sexuality/expectation about the behavior or performance of another person, expressed to that person/dichotomy in philosophy, sociology, art and literature/term for a person 40-49 years old",http://www.wikidata.org/entity/Q110158599
